NAME: TEST-12-N100
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 100  25   9   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1       83      108      158            9.
   2       99       76      144           10.
   3       75      113      211            9.
   4       62       28      127           10.
   5       26       43      124            9.
   6      108       76      185           12.
   7       63       59      192           10.
   8       25      120      168            8.
   9       15       44      209            8.
  10       59       50      208           11.
  11      114       71      157           11.
  12       79      124      123            8.
  13       77       98      213           12.
  14       84       16      172           10.
  15      106      128      210            9.
  16      114       35      225           11.
  17      118       78      215           10.
  18      117       46      157           11.
  19       72       79      119           10.
  20      115       92      210            8.
  21       95       76      128           10.
  22      125       98      210           10.
  23       76      126      211            9.
  24       99       43      195            8.
  25      110      123      166           10.
  26       25       18      169            9.
  27       23       67      158           12.
  28       65      115      197           12.
  29       23      106      215           11.
  30       45      122      164           12.
  31       66       51      178            9.
  32      127       93      199            9.
  33       91       35      167            8.
  34       39      116      195           12.
  35      123       42      202            9.
  36       94       31      132           10.
  37      118       86      229            9.
  38      129       60      184           10.
  39      110       61      123           10.
  40      106       69      129            9.
  41       61       57      170           11.
  42       42       63      198            8.
  43       97       24      211           10.
  44      103       56      161           11.
  45       89       13      125            8.
  46      105       42      174           10.
  47       95       95      229           12.
  48       27       10      145           12.
  49      116      101      161           10.
  50       40       14      201           11.
  51      104       71      199           11.
  52       65       80      230           12.
  53       93       63      205           10.
  54       14      101      197           11.
  55       64       71      156            8.
  56       63      111      220            8.
  57      116       66      147            9.
  58       77      128      197            8.
  59      114      116      159            8.
  60       95       80      212           12.
  61       93      125      176           10.
  62       64       56      186            9.
  63      102       16      132           11.
  64      101       30      137           10.
  65       40       57      133           11.
  66       80       34      176           11.
  67       28      102      135            9.
  68       67      106      156           12.
  69       19       44      171           10.
  70      116       14      133           10.
  71       98       38      122           12.
  72       67       71      223           12.
  73       31       74      124           11.
  74       85       25      161           12.
  75       29      119      201            9.
  76      127       87      214            8.
  77      111       39      164           11.
  78       92       62      196            8.
  79       66       64      194            9.
  80       34       31      153            9.
  81       37       41      183           10.
  82      128      101      160           11.
  83       67       37      136           12.
  84       70       16      144           10.
  85       57       78      150           12.
  86       46      110      148           11.
  87      104       85      160            9.
  88       90       80      194           10.
  89       29      109      159            9.
  90       98       29      169           12.
  91       21      110      118           10.
  92       69      117      229           10.
  93       92       63      226           12.
  94      112      111      118           12.
  95       45       58      165            8.
  96       65       56      115            8.
  97       35       43      192            9.
  98       13      125      120            9.
  99       28       78      156            8.
 100      128      119      182           12.
 
RECHARGE POINTS:
  NO.  XCOORD.  YCOORD.  T0CHAR  TECHNOLOGIES
 
   0       70       70       0.         1 0 0
 101       70       70       5.         0 1 1
 102       40       40       5.         0 1 0
 103       70       40       5.         0 1 1
 104      100       40       5.         0 1 0
 105       40       70       5.         0 1 1
 106      100       70       5.         0 1 1
 107       40      100       5.         0 1 0
 108       70      100       5.         0 1 1
 109      100      100       5.         0 1 0
 
TECHNOLOGY KINDS:
  KIND  SPEED RECHARGE  UNIT COST
 
     0           3600.      0.160
     1          20000.      0.176
     2          45000.      0.192
 
END
