NAME: TEST-11-N400
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 400 100   9   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1       61       36      172           12.
   2       96      125      221           11.
   3       55      110      130           10.
   4      128       77      141           11.
   5       42       60      197            8.
   6       14       18      116           10.
   7       34       41      152            8.
   8       53       23      199           12.
   9       54       15      154           10.
  10       99       86      136           12.
  11       76       17      210           11.
  12       63       64      202           12.
  13       84       58      165            9.
  14       51      101      210            9.
  15       69      106      192            9.
  16       51       10      198           10.
  17       83      118      164           12.
  18       74       52      180            9.
  19       79       21      180            9.
  20      107       11      190           12.
  21      127      113      195           11.
  22      103      111      223            9.
  23       16       25      162           11.
  24       21       11      129            9.
  25       87       41      116           11.
  26       61      120      199            9.
  27      124       23      215           11.
  28       93       52      192            9.
  29       83      109      126           10.
  30       70       42      180           10.
  31      108       93      195           10.
  32       18       78      171           11.
  33       39      114      165           12.
  34       17       65      149           11.
  35       55      120      227            9.
  36       66       82      129           12.
  37       22       33      175           12.
  38       35      102      203           11.
  39       37       58      170           10.
  40       92       32      125           11.
  41       87       79      138           12.
  42       85       54      230           10.
  43      108       84      180            8.
  44      127       53      230           11.
  45       16       36      181           12.
  46       77       96      211           11.
  47       79       24      144           10.
  48       69       46      124           10.
  49      118      109      176            9.
  50      113      109      154           11.
  51      115       17      175            9.
  52       25       96      202           12.
  53       18       21      122           12.
  54       38      104      190           10.
  55       45      100      220            9.
  56       90       47      206           11.
  57      115      118      148            8.
  58       70      102      216           12.
  59       44      102      120            9.
  60       74       59      155            8.
  61       84      123      138           11.
  62       38       78      143           12.
  63       89       12      127           11.
  64      118       70      175           12.
  65       79       15      172           11.
  66      127       54      190           11.
  67       43       43      147           12.
  68      126      113      135           10.
  69       17       14      230           12.
  70       91       12      196            8.
  71      122       28      181            9.
  72       52       24      117            9.
  73       35       53      119           10.
  74      127       24      138           11.
  75       69       35      156           11.
  76       40       36      142           10.
  77       59       84      161            8.
  78       18      108      164           12.
  79       46       81      210            9.
  80       80       36      172            8.
  81       20      103      154           10.
  82       95       97      164            9.
  83       80       64      154            9.
  84       79      113      133           11.
  85       56      124      228            8.
  86       17      120      156           12.
  87       37       73      161           10.
  88       52       14      150            9.
  89       80       68      203           10.
  90      117       45      180           12.
  91       45      119      200           12.
  92       17       91      227            8.
  93       50       60      130            8.
  94       87       29      120            9.
  95      125      110      171            9.
  96       97      126      163           10.
  97      111       99      119            9.
  98       85       65      185           12.
  99       53       89      158           10.
 100       96       59      119            8.
 101      104       75      144            9.
 102      112      110      146           12.
 103       53       28      225           10.
 104       11       97      177           11.
 105       15      104      140           10.
 106       56       54      214           10.
 107       91       74      165           10.
 108       73       56      157           10.
 109       38       43      154           10.
 110       43      116      165           10.
 111       50      102      183           11.
 112       86      120      165            8.
 113       37       27      140           11.
 114      118       45      169           11.
 115       26       25      177            8.
 116       82      103      149            9.
 117       64       49      221            8.
 118       44      116      130           12.
 119       74       92      203           12.
 120      118      124      221            9.
 121       34      106      206           12.
 122       78       13      189           10.
 123       43       23      168            8.
 124      127      129      185           12.
 125       82       78      156           10.
 126       76       95      195           10.
 127       46      130      216            8.
 128       75       83      160            9.
 129       81       16      178            8.
 130       67       78      127            8.
 131       89       13      217           10.
 132       25       84      169           12.
 133       67       98      212            8.
 134      110      100      149            8.
 135       59       67      222           11.
 136       49       27      187           11.
 137       56       35      170            9.
 138       38      114      214            9.
 139       11       16      119            9.
 140      120      103      129           12.
 141      112       29      195            9.
 142       71      118      186            9.
 143       75       69      176           12.
 144      130       28      224            9.
 145       36      118      204            9.
 146       74       64      178           11.
 147       10       83      205            8.
 148       83       38      206           10.
 149      103       79      203           10.
 150      111       87      207           11.
 151       27       19      145            9.
 152       70       11      182            9.
 153       85       86      194           10.
 154       94       60      197            8.
 155       71       86      152           12.
 156       74       67      162           12.
 157       38       42      139            9.
 158       84      101      138           11.
 159       45      103      130            8.
 160       90       59      168           12.
 161       50       90      185            8.
 162       40       81      222            9.
 163      107       47      199            8.
 164       37       93      134           11.
 165      103      104      200           10.
 166       50      120      178           12.
 167       18       27      193           12.
 168       85       82      211            9.
 169       14       70      141           11.
 170       77      113      179           12.
 171      117      112      128           12.
 172       53       21      213           10.
 173       50       57      149           12.
 174       80       60      216           12.
 175      130       78      138           11.
 176       82       58      183           12.
 177      103       75      207           12.
 178       26      104      147           11.
 179       59       72      230           10.
 180      127       47      195           12.
 181       45       81      116           10.
 182       57       78      188            9.
 183      107       34      153           12.
 184      107      113      162            9.
 185      105       74      185           12.
 186       90       52      147           10.
 187      114       74      149           12.
 188       18       60      192            8.
 189       47       94      163            8.
 190       24       26      119           11.
 191       28      114      186           12.
 192      112       97      155            9.
 193       26       21      178           11.
 194       52       70      127           11.
 195       48       67      134           12.
 196       67      116      115           11.
 197       54       81      188            9.
 198       55       32      203            8.
 199       54       93      221           11.
 200      111       44      199            9.
 201       46       37      172           12.
 202      115       19      215           12.
 203       99       92      131           11.
 204      109       42      169           11.
 205       87      110      229           10.
 206       21       10      176            8.
 207       87       53      212           11.
 208       84       15      166            8.
 209       98       86      176           10.
 210       18       22      171           12.
 211       57       73      149           12.
 212       16       13      207            8.
 213       52      121      214            9.
 214       20       59      177           12.
 215       88      115      202           12.
 216      114       97      128           10.
 217       19       66      159           12.
 218       15      127      157           11.
 219       29       21      178           12.
 220       81      115      223           10.
 221      111       93      166           11.
 222       14       52      182           12.
 223       29       16      179           12.
 224       55       37      203            8.
 225       19      120      168           12.
 226       31       66      218            8.
 227       55       68      142           11.
 228       84       42      137           10.
 229      116       47      139           10.
 230       85       63      134           11.
 231       81      127      185           12.
 232      113       51      132           10.
 233       86       54      147           11.
 234       41       85      121            9.
 235       66       62      146           10.
 236       79       55      217           12.
 237       33       64      189            8.
 238       42       21      145            8.
 239       18      113      213           10.
 240      103       19      142           11.
 241       63       12      209            8.
 242      129       12      198            9.
 243      118       69      189            8.
 244       16       86      207            9.
 245       36       83      180           11.
 246       81       46      118           11.
 247       94       10      119            9.
 248       28      110      119            8.
 249       82       46      136           12.
 250       93       16      174           11.
 251       25       16      191            9.
 252      102       72      227           10.
 253       85       92      209           10.
 254       54       59      147           11.
 255       22       30      197           10.
 256      112       90      216            9.
 257       19       63      157           12.
 258       39       40      229            9.
 259      117       86      228            9.
 260       11       12      151           11.
 261       86       45      212           10.
 262       80      103      134           12.
 263      128       90      226           10.
 264       20      110      171            8.
 265       59      129      135            8.
 266      112       53      155            8.
 267       34       30      226            8.
 268       70       33      183            9.
 269      100      103      149           10.
 270       94       64      176            9.
 271       69       43      158           12.
 272       98      102      155           10.
 273       75      115      153           12.
 274       72       83      179           10.
 275      129       86      188           12.
 276       51       86      178            8.
 277      110      110      147           11.
 278       67      121      187           11.
 279       52       80      127           10.
 280      123       85      115            8.
 281       19       56      155            8.
 282       36       15      202           11.
 283       25       15      154           11.
 284       65       63      174           10.
 285      105       89      208           12.
 286       97       56      161            8.
 287      127       70      152            9.
 288       95       85      152           11.
 289      120       18      146           12.
 290      124       52      144            8.
 291       78       75      132            8.
 292       54      127      150            8.
 293       43      110      228            9.
 294      123       69      132            8.
 295       42       46      213           10.
 296       55       50      211            8.
 297      125      101      134           11.
 298       37       14      118            8.
 299      115      125      228           11.
 300       63       21      169           12.
 301       58      122      217            9.
 302       78       94      168            8.
 303       16       87      125           12.
 304       63       51      227            9.
 305       28      128      191            9.
 306      127       18      118            8.
 307       33       59      117            8.
 308       93       72      213           12.
 309      125      109      123           11.
 310       57      123      182           10.
 311       16       97      223           10.
 312       12       55      177            9.
 313       79       29      161            8.
 314       31       37      214            8.
 315       57      101      175            8.
 316       87       70      226            8.
 317       22       72      208            8.
 318      118       56      119            8.
 319      112      106      146            9.
 320       58       35      222            8.
 321       33       73      224           11.
 322       73       96      124           11.
 323       49       63      200           10.
 324       54       44      194           11.
 325       45      106      125           10.
 326       86      129      122            9.
 327      107       83      214           10.
 328       60       54      227            8.
 329       90       23      229           10.
 330       25      127      215            8.
 331      130       95      223           10.
 332       35       38      134           12.
 333       54       57      225            9.
 334       80       57      185           12.
 335       29       92      156            8.
 336       80      123      167           10.
 337       66      123      145           10.
 338       58       59      183           10.
 339       39       15      144           12.
 340       71       74      216            9.
 341       23       44      207            9.
 342      113       11      163            9.
 343       69       44      123            9.
 344       75       14      198            9.
 345       12       94      137           10.
 346       47      123      134            9.
 347       96       21      116            9.
 348      112      124      194           10.
 349       95       35      209            8.
 350      123       76      177            9.
 351       51       57      193           10.
 352      128       13      122           10.
 353       28       37      150            8.
 354       23       28      215           11.
 355      130       26      132           12.
 356       65       91      194            9.
 357       57      112      129           11.
 358       35      108      136           10.
 359       80       14      223            9.
 360      107       78      222           12.
 361       40       24      195            8.
 362       36       11      143           12.
 363       56       27      176           11.
 364       79       90      229            8.
 365      127       21      229            9.
 366       31       34      151           10.
 367       53       74      201            9.
 368       10      113      180            8.
 369       49      116      188           12.
 370       65       16      193            8.
 371       45       45      189            8.
 372       50      110      138            9.
 373       23       97      139            8.
 374       34       97      202           10.
 375       29       61      218           12.
 376       22      123      185            9.
 377       47       45      166           10.
 378      128      122      203            9.
 379       46      122      122           11.
 380       42       53      184           10.
 381       80       59      181           11.
 382       94       49      154           10.
 383       55       44      210           12.
 384       53       15      132           12.
 385       62      116      129           12.
 386      114       98      172           12.
 387       82       83      180           11.
 388       83      127      160           10.
 389       64       68      212            8.
 390       61       86      167           12.
 391      130       27      201           12.
 392       36      121      161            8.
 393      118       87      209           10.
 394       98       96      208           12.
 395       72       15      131           11.
 396       26       40      128           11.
 397       98       71      198            8.
 398       40       42      210           10.
 399      126       81      210            9.
 400       41       87      153            9.
 
RECHARGE POINTS:
  NO.  XCOORD.  YCOORD.  T0CHAR  TECHNOLOGIES
 
   0       70       70       0.         1 0 0
 401       70       70       5.         0 1 1
 402       40       40       5.         0 1 0
 403       70       40       5.         0 1 1
 404      100       40       5.         0 1 0
 405       40       70       5.         0 1 1
 406      100       70       5.         0 1 1
 407       40      100       5.         0 1 0
 408       70      100       5.         0 1 1
 409      100      100       5.         0 1 0
 
TECHNOLOGY KINDS:
  KIND  SPEED RECHARGE  UNIT COST
 
     0           3600.      0.160
     1          20000.      0.176
     2          45000.      0.192
 
END
